state,stateImg,parties,dateFiled,dateDecided,excerpt
Missouri,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-missouri-01-2.png,"Cooper v. Ashcroft",2023-03-23,2023-04-10,"Lawsuit filed on behalf of a Missouri citizen against Missouri Secretary of State John Ashcroft (R) challenging Ashcroft’s allegedly “unlawful” rejection of two proposed ballot initiative petitions."
Alabama,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-alabama-01-1.png,"McClure v. Jefferson County Commission",2023-04-07,undefined,"Lawsuit filed by a Black voter, Greater Birmingham Ministries, the Metro-Birmingham Branch of the NAACP and the Alabama State Conference of the NAACP challenging Jefferson County, Alabama’s county commission districts drawn with 2020 census data."
Virginia,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-virginia-01-1.png,"Nolef Turns v. Youngkin",2023-04-06,undefined,"Lawsuit filed on behalf of an individual who is disenfranchised due to a former felony conviction and a nonprofit organization that supports formerly incarcerated individuals challenging Virginia’s felony disenfranchisement policy."
New Hampshire,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-newhampshire-01-1.png,"Mosley v. Scanlan",2022-11-18,2023-04-05,"Lawsuit filed by the Democratic state House candidate for the 16th House District and the Democratic state senator representing the 18th state Senate District, challenging the counting of ballots cast during the Nov. 8 election."
North Carolina,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-northcarolina-01-1.png,"North Carolina Democratic Party v. North Carolina",2019-12-20,2023-03-30,"Democratic lawsuit challenging a North Carolina law that limits early voting locations."
Pennsylvania,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-pennslyvania-01-1.png,"French v. County of Luzerne",2023-03-28,undefined,"Lawsuit filed by three Luzerne County, Pennsylvania, voters against Luzerne County and its election officials alleging that voters were “disenfranchised” during the Nov. 8, 2022, midterm elections as a result of the defendants’ “misadministration of the election” in at least “40 election districts.”"
Tennessee,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-tennessee-01-1.png,"Tucker v. Lee",2023-03-28,undefined,"Lawsuit filed by voters from Davidson County, Tennessee against Tennessee Gov. Bill Lee (R), Secretary of State Tre Hargett (R) and Coordinator of Elections Mark Goins (R) challenging House Bill 48."
Kansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-kansas-01-1.png,"Frick v. Schwab",2022-03-01,2023-03-27,"Lawsuit filed on behalf of Democratic voters challenging Kansas’ new congressional map."
Kansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-kansas-01-1.png,"Alonzo v. Schwab",2022-02-14,2023-03-27,"Lawsuit filed on behalf of a group of Kansas voters challenging the state’s new congressional map."
Kansas,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-kansas-01-1.png,"Rivera v. Schwab",2022-02-14,2023-03-27,"Lawsuit filed on behalf of Kansas voters and the organization Loud Light against Kansas’ new congressional map."
Pennsylvania,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-pennslyvania-01-1.png,"Republican National Committee v. Chapman",2022-09-01,2023-03-23,"Lawsuit filed by the Republican National Committee and others challenging the authority of the county boards of elections to develop and implement ballot cure procedures."
Idaho,https://www.democracydocket.com/wp-content/uploads/2021/08/icon_state-idaho-01.png,"March For Our Lives Idaho v. McGrane",2023-03-17,undefined,"Lawsuit filed by March For Our Lives Idaho and a young voter challenging House Bill 124, a newly enacted voter suppression law that eliminates the use of a student ID as an acceptable form of identification for in-person voting."
